account_key,account_id,bank_id,bank_name,entity_id,entity_name
331579:80B779D80,80B779D80,331579,Portugal Bank #4507,80062E240,Sole Proprietorship #50438
210:809D86900,809D86900,210,Canada Bank #27,800C998A0,Corporation #33520
21884:80812BE00,80812BE00,21884,UK Bank #33,800C47F50,Partnership #35397
32742:81047F300,81047F300,32742,Germany Bank #4815,80096F0B0,Corporation #48813
127390:80BD8CF00,80BD8CF00,127390,National Bank of Harrisburg,800FB8760,Corporation #889
224555:80F269580,80F269580,224555,Spain Bank #439,80064EB20,Sole Proprietorship #42987
32013:80E6E8680,80E6E8680,32013,Savings Bank of Omaha,800CCEDE0,Sole Proprietorship #20855
335355:80CDEFD80,80CDEFD80,335355,Brazil Bank #39,800D88F10,Partnership #36822
1132:80B723600,80B723600,1132,Mexico Bank #16,800D3F760,Partnership #36511
217824:806B17000,806B17000,217824,Russia Bank #39,800B44480,Partnership #33830
3051:801B5F580,801B5F580,3051,Acme Community Bank,800CE6560,Partnership #4394
24840:803D08400,803D08400,24840,Croatia Bank #36,800786C50,Sole Proprietorship #24627
122086:80D9E7300,80D9E7300,122086,National Bank of Cleveland,8004D60F0,Sole Proprietorship #17045
1853:808939E80,808939E80,1853,Bank of New York,8001B6C60,Partnership #51470
11471:801F66780,801F66780,11471,Willows Community Bank,8001727E0,Sole Proprietorship #4568
311355:804301D90,804301D90,311355,Japan Bank #930,800A9E740,Partnership #32508
28629:80BCFEA90,80BCFEA90,28629,Italy Bank #364,800720A50,Corporation #40316
1601:800332090,800332090,1601,Acme Cooperative Bank,800F0B030,Partnership #15275
25075:80528F990,80528F990,25075,National Bank of Harrisburg,800FBB640,Partnership #10650
345250:810AA5110,810AA5110,345250,Israel Bank #349,800E84E60,Corporation #35871
116904:806F45410,806F45410,116904,Russia Bank #30,800B49C40,Sole Proprietorship #32941
12513:80DE87090,80DE87090,12513,Germany Bank #74,8006D77B0,Sole Proprietorship #23649
6075:8034BDD90,8034BDD90,6075,Savings Bank of Billings,800DEADE0,Partnership #7246
46537:811BAE490,811BAE490,46537,National Bank of Providence,8005EC710,Partnership #46146
