relationship_id,account_id,connected_account_id,relationship_type,ownership_percentage,relationship_start_date
REL-0000001,80B856600,80425DCB0,SHARED_OWNER,75.45,2020-09-30
REL-0000002,81328A900,811308A20,SHARED_OWNER,69.29,2024-02-12
REL-0000003,80BFE42F0,81229E690,AUTHORIZED_USER,8.02,2019-01-19
REL-0000004,8075AC7C0,808A6DBE0,BUSINESS_ASSOCIATE,62.19,2024-04-17
REL-0000005,80009BD20,8000E71B1,BUSINESS_ASSOCIATE,44.85,2023-01-14
REL-0000006,801ACEBF0,80D595E10,SHARED_OWNER,77.09,2019-10-16
REL-0000007,8006565B0,803AD5C90,RELATED_ACCOUNT,31.4,2020-05-31
REL-0000008,8080EB910,80542F760,SHARED_OWNER,13.81,2019-02-01
REL-0000009,80E87EE90,800FBB120,RELATED_ACCOUNT,62.35,2018-06-27
REL-0000010,80E0076D0,802749EF0,BUSINESS_ASSOCIATE,16.86,2022-03-31
REL-0000011,8123B8EF0,808FBB970,RELATED_ACCOUNT,83.79,2022-01-21
REL-0000012,802FD1270,80709C000,SHARED_OWNER,9.35,2020-07-22
REL-0000013,8068FD8B0,805C2C700,SHARED_OWNER,86.26,2019-02-18
REL-0000014,80869A410,80CEDCD00,AUTHORIZED_USER,65.39,2022-02-03
REL-0000015,809E7FFE0,810FC54B0,RELATED_ACCOUNT,24.9,2020-12-29
REL-0000016,80DBE1780,81010AB40,SHARED_OWNER,62.87,2019-12-02
REL-0000017,8040F17F0,812373780,BENEFICIAL_OWNER,20.52,2022-04-04
REL-0000018,80CA07660,802E16240,BUSINESS_ASSOCIATE,25.86,2021-08-21
REL-0000019,811BF5350,8034D8070,SHARED_OWNER,26.76,2018-05-12
REL-0000020,800D45350,80872AF10,AUTHORIZED_USER,30.44,2020-05-14
REL-0000021,8048704D0,8112FCEB0,RELATED_ACCOUNT,25.2,2023-08-07
REL-0000022,80A437E70,8022B40F0,AUTHORIZED_USER,18.57,2019-07-26
REL-0000023,8063AAF90,805122B50,BUSINESS_ASSOCIATE,56.2,2024-07-22
REL-0000024,805111EC0,80EB444B0,BUSINESS_ASSOCIATE,42.94,2020-06-17
REL-0000025,80AFEB810,801CF5960,AUTHORIZED_USER,13.64,2018-07-12
REL-0000026,803EB4900,8019D46B0,BENEFICIAL_OWNER,64.61,2022-09-26
REL-0000027,80FA89110,800D89BB0,AUTHORIZED_USER,41.25,2023-04-02
REL-0000028,805B8D760,80E7476B0,BUSINESS_ASSOCIATE,86.77,2018-02-17
REL-0000029,809320F60,8008FDCA0,SHARED_OWNER,69.76,2024-01-09
REL-0000030,8034A5690,8133676B0,RELATED_ACCOUNT,15.6,2022-11-16
REL-0000031,8005A2790,8021A7B10,SHARED_OWNER,95.61,2020-12-14
REL-0000032,80230A6F0,802AEB3F0,BENEFICIAL_OWNER,53.23,2019-03-12
REL-0000033,80CD5D570,81324C110,RELATED_ACCOUNT,84.96,2023-09-11
REL-0000034,813879560,80ED3C650,BENEFICIAL_OWNER,40.52,2019-10-24
REL-0000035,800479ED0,80CB40F40,BUSINESS_ASSOCIATE,92.26,2024-09-19
REL-0000036,80C99DDD0,8126779E0,SHARED_OWNER,15.63,2022-01-26
REL-0000037,80CF7D6B0,80C34C810,RELATED_ACCOUNT,27.75,2020-09-13
REL-0000038,810A7D1E0,8014E85C0,SHARED_OWNER,13.14,2023-06-14
REL-0000039,803E18A10,804387AE0,BUSINESS_ASSOCIATE,77.75,2019-06-10
REL-0000040,80669F8C0,80B5BBFB0,BUSINESS_ASSOCIATE,20.69,2023-12-02
REL-0000041,80376ED60,800C63590,AUTHORIZED_USER,96.61,2024-01-18
REL-0000042,8007EACC0,813A7DE51,BENEFICIAL_OWNER,72.73,2022-06-23
REL-0000043,8090DECD0,80724ECD0,RELATED_ACCOUNT,46.62,2023-10-21
REL-0000044,802A1FD70,801001120,BENEFICIAL_OWNER,26.35,2021-10-16
REL-0000045,80DA00D30,810A1DC30,BUSINESS_ASSOCIATE,26.86,2020-06-21
REL-0000046,811702640,8117F7330,SHARED_OWNER,26.75,2018-05-09
REL-0000047,801BC9030,80F67BF20,SHARED_OWNER,53.84,2021-02-14
REL-0000048,8014FF200,807E6B020,BENEFICIAL_OWNER,56.23,2024-05-27
REL-0000049,804AD12B0,810518030,BENEFICIAL_OWNER,79.54,2022-07-26
REL-0000050,808EEF230,806639030,SHARED_OWNER,67.6,2021-12-22
REL-0000051,80FE50710,81107E100,AUTHORIZED_USER,87.06,2018-08-10
REL-0000052,813E52521,805C9F6D0,SHARED_OWNER,10.76,2021-10-21
REL-0000053,802BD6150,8109DB3A0,SHARED_OWNER,28.62,2020-02-19
REL-0000054,810D313C0,812224E70,BENEFICIAL_OWNER,45.08,2021-02-14
REL-0000055,8082C6480,803797160,SHARED_OWNER,47.1,2024-03-04
REL-0000056,80F9D1C70,80070BE30,BUSINESS_ASSOCIATE,84.42,2019-01-18
