complaint_id,account_id,customer_id,complaint_type,description,severity,complaint_date,status
CMP-000001,806C4E590,CUST-0067768,Suspicious Transaction,Customer reported unusual transaction activity.,HIGH,2023-10-17,OPEN
CMP-000002,800AECC60,CUST-0071531,Unauthorized Transfer,Customer reported unusual transaction activity.,LOW,2022-08-17,RESOLVED
CMP-000003,803A8BF40,CUST-0010677,Suspicious Transaction,Customer reported unusual transaction activity.,LOW,2023-03-09,OPEN
CMP-000004,8081AFA90,CUST-0005534,Unusual Account Activity,Unusual account behaviour was reported.,LOW,2022-08-27,RESOLVED
CMP-000005,801107C80,CUST-0037116,Unusual Account Activity,Customer raised an identity verification concern.,MEDIUM,2022-07-23,UNDER_REVIEW
CMP-000006,80903D850,CUST-0082110,Fraud Report,Customer reported unusual transaction activity.,MEDIUM,2023-08-27,RESOLVED
CMP-000007,804777670,CUST-0057672,Fraud Report,Potential fraudulent activity was reported.,MEDIUM,2023-03-09,OPEN
CMP-000008,8004D94B0,CUST-0083033,Fraud Report,Customer reported unusual transaction activity.,LOW,2024-09-07,UNDER_REVIEW
CMP-000009,812495670,CUST-0071654,Fraud Report,Potential fraudulent activity was reported.,HIGH,2022-04-10,OPEN
CMP-000010,81355C810,CUST-0074719,Identity Concern,Unusual account behaviour was reported.,LOW,2024-01-18,UNDER_REVIEW
CMP-000011,802EFDE20,CUST-0094139,Unusual Account Activity,Potential fraudulent activity was reported.,HIGH,2022-03-22,RESOLVED
CMP-000012,805E728B0,CUST-0098762,Suspicious Transaction,Customer reported unusual transaction activity.,MEDIUM,2022-07-16,UNDER_REVIEW
CMP-000013,807A79B70,CUST-0020994,Unauthorized Transfer,Customer reported unusual transaction activity.,CRITICAL,2022-03-23,UNDER_REVIEW
CMP-000014,8024BB040,CUST-0055110,Fraud Report,Customer reported an unexpected transfer.,HIGH,2023-04-10,UNDER_REVIEW
CMP-000015,808F5BE20,CUST-0089841,Fraud Report,Customer reported unusual transaction activity.,MEDIUM,2022-08-03,RESOLVED
CMP-000016,806D4A1C0,CUST-0093885,Unauthorized Transfer,Customer reported an unexpected transfer.,CRITICAL,2024-01-17,UNDER_REVIEW
CMP-000017,8057B5880,CUST-0052760,Unusual Account Activity,Customer reported an unexpected transfer.,HIGH,2022-10-04,OPEN
CMP-000018,810274570,CUST-0067758,Suspicious Transaction,Potential fraudulent activity was reported.,CRITICAL,2022-08-23,UNDER_REVIEW
CMP-000019,8062DCBC0,CUST-0027839,Unauthorized Transfer,Unusual account behaviour was reported.,HIGH,2022-03-09,OPEN
CMP-000020,807E06860,CUST-0019298,Identity Concern,Customer raised an identity verification concern.,CRITICAL,2023-11-03,OPEN
CMP-000021,80D179D20,CUST-0085576,Unauthorized Transfer,Customer reported an unexpected transfer.,HIGH,2022-09-29,RESOLVED
CMP-000022,813439761,CUST-0058298,Identity Concern,Unusual account behaviour was reported.,CRITICAL,2023-08-22,UNDER_REVIEW
CMP-000023,8005FFF40,CUST-0081604,Unauthorized Transfer,Unusual account behaviour was reported.,CRITICAL,2022-08-13,OPEN
CMP-000024,806939020,CUST-0036505,Suspicious Transaction,Customer reported unusual transaction activity.,MEDIUM,2024-02-13,RESOLVED
CMP-000025,805425EC0,CUST-0035039,Identity Concern,Unusual account behaviour was reported.,LOW,2022-06-13,UNDER_REVIEW
CMP-000026,803C60120,CUST-0036543,Unusual Account Activity,Customer raised an identity verification concern.,HIGH,2023-01-26,RESOLVED
CMP-000027,803C54910,CUST-0107851,Suspicious Transaction,Customer reported unusual transaction activity.,HIGH,2024-05-31,RESOLVED
CMP-000028,8059ED100,CUST-0012787,Suspicious Transaction,Potential fraudulent activity was reported.,CRITICAL,2022-12-15,OPEN
CMP-000029,803604690,CUST-0040782,Suspicious Transaction,Potential fraudulent activity was reported.,MEDIUM,2023-04-10,RESOLVED
CMP-000030,80D48F030,CUST-0104474,Suspicious Transaction,Potential fraudulent activity was reported.,MEDIUM,2024-07-23,OPEN
CMP-000031,80F49BAE0,CUST-0085409,Unauthorized Transfer,Unusual account behaviour was reported.,LOW,2023-01-18,RESOLVED
CMP-000032,805A47E70,CUST-0091808,Identity Concern,Customer reported unusual transaction activity.,LOW,2022-11-28,UNDER_REVIEW
