account_id,kyc_status,customer_type,country,risk_rating,account_open_date,occupation,source_of_funds,pep_flag,sanctions_flag,kyc_last_review_date,evidence_source
800737690,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80011F990,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80020C5B0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80006A5E0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8007A5B70,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80093C0D0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80078E200,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80066B990,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8002CC310,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8004030A0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
800578800,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
800AAF0B0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8006FB970,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
800449990,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
800AEBA90,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
800692550,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8007486D0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8013C4030,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80BC62F10,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80F025640,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80FD27570,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8090E8EB0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
804ABCE90,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
805494C30,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
801B949C0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
803DE1580,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
