accuracy,precision,recall,f1,fpr,fnr,confusion_matrix,missed_laundering,total_laundering,total_legitimate,roc_auc,strategy,baseline_low,baseline_high,enhanced_thresh,threshold
0.9543,0.555658,0.583575,0.569274,0.025468,0.416425,"{'tp': 604, 'tn': 18482, 'fp': 483, 'fn': 431}",431,1035,18965,,staged_current,40.0,75.0,40.0,
0.94945,0.508696,0.678261,0.581366,0.03575,0.321739,"{'tp': 702, 'tn': 18287, 'fp': 678, 'fn': 333}",333,1035,18965,,staged,20.0,65.0,35.0,
0.9512,0.522571,0.659903,0.583262,0.032903,0.340097,"{'tp': 683, 'tn': 18341, 'fp': 624, 'fn': 352}",352,1035,18965,,staged,20.0,65.0,40.0,
0.95305,0.538772,0.644444,0.58689,0.030108,0.355556,"{'tp': 667, 'tn': 18394, 'fp': 571, 'fn': 368}",368,1035,18965,,staged,20.0,65.0,45.0,
0.9545,0.55374,0.622222,0.585987,0.027366,0.377778,"{'tp': 644, 'tn': 18446, 'fp': 519, 'fn': 391}",391,1035,18965,,staged,20.0,65.0,50.0,
0.94945,0.508696,0.678261,0.581366,0.03575,0.321739,"{'tp': 702, 'tn': 18287, 'fp': 678, 'fn': 333}",333,1035,18965,,staged,20.0,70.0,35.0,
0.9512,0.522571,0.659903,0.583262,0.032903,0.340097,"{'tp': 683, 'tn': 18341, 'fp': 624, 'fn': 352}",352,1035,18965,,staged,20.0,70.0,40.0,
0.95305,0.538772,0.644444,0.58689,0.030108,0.355556,"{'tp': 667, 'tn': 18394, 'fp': 571, 'fn': 368}",368,1035,18965,,staged,20.0,70.0,45.0,
0.9545,0.55374,0.622222,0.585987,0.027366,0.377778,"{'tp': 644, 'tn': 18446, 'fp': 519, 'fn': 391}",391,1035,18965,,staged,20.0,70.0,50.0,
0.94945,0.508696,0.678261,0.581366,0.03575,0.321739,"{'tp': 702, 'tn': 18287, 'fp': 678, 'fn': 333}",333,1035,18965,,staged,20.0,75.0,35.0,
0.9512,0.522571,0.659903,0.583262,0.032903,0.340097,"{'tp': 683, 'tn': 18341, 'fp': 624, 'fn': 352}",352,1035,18965,,staged,20.0,75.0,40.0,
0.95305,0.538772,0.644444,0.58689,0.030108,0.355556,"{'tp': 667, 'tn': 18394, 'fp': 571, 'fn': 368}",368,1035,18965,,staged,20.0,75.0,45.0,
0.9545,0.55374,0.622222,0.585987,0.027366,0.377778,"{'tp': 644, 'tn': 18446, 'fp': 519, 'fn': 391}",391,1035,18965,,staged,20.0,75.0,50.0,
0.9504,0.516226,0.66087,0.579661,0.033799,0.33913,"{'tp': 684, 'tn': 18324, 'fp': 641, 'fn': 351}",351,1035,18965,,staged,25.0,65.0,35.0,
0.9519,0.528991,0.643478,0.580645,0.031268,0.356522,"{'tp': 666, 'tn': 18372, 'fp': 593, 'fn': 369}",369,1035,18965,,staged,25.0,65.0,40.0,
0.95365,0.545075,0.630918,0.584863,0.028737,0.369082,"{'tp': 653, 'tn': 18420, 'fp': 545, 'fn': 382}",382,1035,18965,,staged,25.0,65.0,45.0,
0.95515,0.561279,0.610628,0.584914,0.026048,0.389372,"{'tp': 632, 'tn': 18471, 'fp': 494, 'fn': 403}",403,1035,18965,,staged,25.0,65.0,50.0,
0.9504,0.516226,0.66087,0.579661,0.033799,0.33913,"{'tp': 684, 'tn': 18324, 'fp': 641, 'fn': 351}",351,1035,18965,,staged,25.0,70.0,35.0,
0.9519,0.528991,0.643478,0.580645,0.031268,0.356522,"{'tp': 666, 'tn': 18372, 'fp': 593, 'fn': 369}",369,1035,18965,,staged,25.0,70.0,40.0,
0.95365,0.545075,0.630918,0.584863,0.028737,0.369082,"{'tp': 653, 'tn': 18420, 'fp': 545, 'fn': 382}",382,1035,18965,,staged,25.0,70.0,45.0,
0.95515,0.561279,0.610628,0.584914,0.026048,0.389372,"{'tp': 632, 'tn': 18471, 'fp': 494, 'fn': 403}",403,1035,18965,,staged,25.0,70.0,50.0,
0.9504,0.516226,0.66087,0.579661,0.033799,0.33913,"{'tp': 684, 'tn': 18324, 'fp': 641, 'fn': 351}",351,1035,18965,,staged,25.0,75.0,35.0,
0.9519,0.528991,0.643478,0.580645,0.031268,0.356522,"{'tp': 666, 'tn': 18372, 'fp': 593, 'fn': 369}",369,1035,18965,,staged,25.0,75.0,40.0,
0.95365,0.545075,0.630918,0.584863,0.028737,0.369082,"{'tp': 653, 'tn': 18420, 'fp': 545, 'fn': 382}",382,1035,18965,,staged,25.0,75.0,45.0,
0.95515,0.561279,0.610628,0.584914,0.026048,0.389372,"{'tp': 632, 'tn': 18471, 'fp': 494, 'fn': 403}",403,1035,18965,,staged,25.0,75.0,50.0,
0.95155,0.526149,0.641546,0.578145,0.031532,0.358454,"{'tp': 664, 'tn': 18367, 'fp': 598, 'fn': 371}",371,1035,18965,,staged,30.0,65.0,35.0,
0.9529,0.538718,0.625121,0.578712,0.029212,0.374879,"{'tp': 647, 'tn': 18411, 'fp': 554, 'fn': 388}",388,1035,18965,,staged,30.0,65.0,40.0,
0.9544,0.553712,0.61256,0.581651,0.026944,0.38744,"{'tp': 634, 'tn': 18454, 'fp': 511, 'fn': 401}",401,1035,18965,,staged,30.0,65.0,45.0,
0.9557,0.568918,0.594203,0.581285,0.024572,0.405797,"{'tp': 615, 'tn': 18499, 'fp': 466, 'fn': 420}",420,1035,18965,,staged,30.0,65.0,50.0,
0.95155,0.526149,0.641546,0.578145,0.031532,0.358454,"{'tp': 664, 'tn': 18367, 'fp': 598, 'fn': 371}",371,1035,18965,,staged,30.0,70.0,35.0,
0.9529,0.538718,0.625121,0.578712,0.029212,0.374879,"{'tp': 647, 'tn': 18411, 'fp': 554, 'fn': 388}",388,1035,18965,,staged,30.0,70.0,40.0,
0.9544,0.553712,0.61256,0.581651,0.026944,0.38744,"{'tp': 634, 'tn': 18454, 'fp': 511, 'fn': 401}",401,1035,18965,,staged,30.0,70.0,45.0,
0.9557,0.568918,0.594203,0.581285,0.024572,0.405797,"{'tp': 615, 'tn': 18499, 'fp': 466, 'fn': 420}",420,1035,18965,,staged,30.0,70.0,50.0,
0.95155,0.526149,0.641546,0.578145,0.031532,0.358454,"{'tp': 664, 'tn': 18367, 'fp': 598, 'fn': 371}",371,1035,18965,,staged,30.0,75.0,35.0,
0.9529,0.538718,0.625121,0.578712,0.029212,0.374879,"{'tp': 647, 'tn': 18411, 'fp': 554, 'fn': 388}",388,1035,18965,,staged,30.0,75.0,40.0,
0.9544,0.553712,0.61256,0.581651,0.026944,0.38744,"{'tp': 634, 'tn': 18454, 'fp': 511, 'fn': 401}",401,1035,18965,,staged,30.0,75.0,45.0,
0.9557,0.568918,0.594203,0.581285,0.024572,0.405797,"{'tp': 615, 'tn': 18499, 'fp': 466, 'fn': 420}",420,1035,18965,,staged,30.0,75.0,50.0,
0.95235,0.533997,0.622222,0.574743,0.029634,0.377778,"{'tp': 644, 'tn': 18403, 'fp': 562, 'fn': 391}",391,1035,18965,,staged,35.0,65.0,35.0,
0.9537,0.54735,0.608696,0.576395,0.027472,0.391304,"{'tp': 630, 'tn': 18444, 'fp': 521, 'fn': 405}",405,1035,18965,,staged,35.0,65.0,40.0,
