clear_max,escalate_min,accuracy,precision,recall,f1,fpr,fnr,missed_laundering,clear_count,review_count,escalate_count,l_clear,l_review,l_escalate
25,60,0.9029,0.3278,0.8338,0.4706,0.0933,0.1662,172,17367,1009,1624,172,158,705
25,65,0.9029,0.3278,0.8338,0.4706,0.0933,0.1662,172,17367,1175,1458,172,192,671
25,70,0.9029,0.3278,0.8338,0.4706,0.0933,0.1662,172,17367,1262,1371,172,223,640
25,75,0.9029,0.3278,0.8338,0.4706,0.0933,0.1662,172,17367,1310,1323,172,247,616
30,60,0.9093,0.3426,0.8203,0.4833,0.0859,0.1797,186,17522,854,1624,186,144,705
30,65,0.9093,0.3426,0.8203,0.4833,0.0859,0.1797,186,17522,1020,1458,186,178,671
30,70,0.9093,0.3426,0.8203,0.4833,0.0859,0.1797,186,17522,1107,1371,186,209,640
30,75,0.9093,0.3426,0.8203,0.4833,0.0859,0.1797,186,17522,1155,1323,186,233,616
35,60,0.9148,0.356,0.799,0.4926,0.0789,0.201,208,17677,699,1624,208,122,705
35,65,0.9148,0.356,0.799,0.4926,0.0789,0.201,208,17677,865,1458,208,156,671
35,70,0.9148,0.356,0.799,0.4926,0.0789,0.201,208,17677,952,1371,208,187,640
35,75,0.9148,0.356,0.799,0.4926,0.0789,0.201,208,17677,1000,1323,208,211,616
40,60,0.9204,0.3709,0.772,0.5011,0.0714,0.228,236,17846,530,1624,236,94,705
40,65,0.9204,0.3709,0.772,0.5011,0.0714,0.228,236,17846,696,1458,236,128,671
40,70,0.9204,0.3709,0.772,0.5011,0.0714,0.228,236,17846,783,1371,236,159,640
40,75,0.9204,0.3709,0.772,0.5011,0.0714,0.228,236,17846,831,1323,236,183,616
